Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
3600 426.7 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 36.1
3600 482.2 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 30.7
3600 537.8 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 26.1
3600 593.3 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 21.2
3600 648.9 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 16.5
3600 704.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 12.4
14400 204.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 50.0
14400 260 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 48.3
14400 315.6 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 44.9
14400 371.1 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 39.2
14400 426.7 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 33.9
14400 482.2 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 28.8
14400 537.8 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 23.9
14400 593.3 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 18.9
14400 648.9 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 13.1
14400 704.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 8.6
86400 204.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 49.1
86400 260 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 47.0
