"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %",YieldStress
0.102,0.425,0.85,0.0255,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.17,310.0
0.102,0.425,1.19,0.034,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.17,340.0
0.102,0.425,1.275,0.034,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.17,385.0
0.102,0.425,1.36,0.034,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.17,425.0
0.102,0.425,1.445,0.0255,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.17,470.0
0.1275,0.51,1.445,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.17,520.0
0.119,0.51,1.445,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.17,560.0
0.119,0.51,1.53,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.17,610.0
0.051,0.425,0.595,0.051,0.02125,0.0,0.0,0.0,0.01725,0.0,0.0,0.0,0.17,210.0
0.051,0.425,0.595,0.068,0.02125,0.0,0.0,0.0,0.01725,0.0,0.0,0.0,0.17,232.5
0.068,0.425,0.595,0.07225,0.02125,0.0,0.0,0.0,0.01725,0.0,0.0,0.0,0.17,240.0
0.085,0.425,0.85,0.085,0.0255,0.0,0.0,0.0,0.01725,0.0,0.0,0.0,0.17,270.0
0.085,0.425,0.85,0.085,0.0255,0.0,0.0,0.0,0.01725,0.0,0.0,0.0,0.17,300.0
0.0085,0.255,0.595,0.051,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.17,210.0
0.0085,0.255,0.765,0.068,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.17,240.0
0.0085,0.255,0.85,0.085,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.17,270.0
0.01275,0.255,1.36,0.0935,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.17,300.0
0.051,0.425,0.595,0.085,0.0255,0.0,0.0425,0.255,0.01725,0.0,0.0,0.0,0.17,210.0
0.068,0.425,0.595,0.085,0.02125,0.0,0.0,0.0,0.01725,0.0,0.0,0.0,0.17,240.0
0.085,0.425,0.85,0.085,0.0255,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.17,270.0
0.068,0.425,0.595,0.085,0.02125,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.17,310.0
0.119,0.425,1.53,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,300.0
0.119,0.425,1.53,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.45,0.0,0.17,335.0
0.1275,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,1.2765,0.00425,0.65,0.0,0.17,380.0
0.1275,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,1.2765,0.00425,0.65,0.0,0.17,460.0
0.153,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,495.0
0.085,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,495.0
0.153,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,560.0
0.085,0.68,2.125,0.0425,0.0085,0.0,0.07,0.07,0.85225,0.00425,0.65,0.0,0.17,560.0
