Standard,SteelGrade,"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %","wt_As, %",YieldStress,TensileStrength,Elongation
Arcelor,CR1_arcelor_arcelor_arcelor,0.102,0.425,0.51,0.04675,0.02975,0,0,0.255,0.0115,0,0,0,0.17,0,220,340,0
Arcelor,CR2_arcelor_arcelor_arcelor,0.085,0.425,0.425,0.02125,0.017,0,0,0.255,0.0115,0,0,0,0.17,0,190,320,0
Arcelor,CR3_arcelor_arcelor_arcelor,0.068,0.425,0.425,0.02125,0.017,0,0,0.255,0.0115,0,0,0,0.17,0,175,310,0
Arcelor,CR4_arcelor_arcelor_arcelor,0.051,0.425,0.34,0.02125,0.017,0,0,0.255,0.0115,0,0,0,0.17,0,160,300,0
Arcelor,CR5_arcelor_arcelor_arcelor,0.017,0.425,0.255,0.017,0.017,0,0,0.255,0.0115,0,0,0,0.17,0,140,295,0
Arcelor,CR6_arcelor_arcelor_arcelor,0.0085,0.425,0.17,0.017,0.017,0,0,0.17,0.0115,0,0,0,0.17,0,140,290,0
Arcelor,CR210LA_arcelor_arcelor_arcelor,0.085,0.425,0.85,0.068,0.0255,0,0.085,0.1275,0.01725,0,0,0,0.17,0,255,360,0
Arcelor,CR240LA_arcelor_arcelor_arcelor,0.085,0.425,0.85,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0.17,0,280,375,0
Arcelor,CR270LA_arcelor_arcelor_arcelor,0.102,0.425,0.85,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0.17,0,310,405,0
Arcelor,CR300LA_arcelor_arcelor_arcelor,0.102,0.425,1.19,0.034,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0.17,0,340,435,0
Arcelor,CR340LA_arcelor_arcelor_arcelor,0.102,0.425,1.275,0.034,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0.17,0,385,470,0
Arcelor,CR380LA_arcelor_arcelor_arcelor,0.102,0.425,1.36,0.034,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0.17,0,425,510,0
Arcelor,CR420LA_arcelor_arcelor_arcelor,0.102,0.425,1.445,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0.17,0,470,540,0
Arcelor,CR460LA_arcelor_arcelor_arcelor,0.1275,0.51,1.445,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0.17,0,520,600,0
Arcelor,CR500LA_arcelor_arcelor_arcelor,0.119,0.51,1.445,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0.17,0,560,650,0
Arcelor,CR550LA_arcelor_arcelor_arcelor,0.119,0.51,1.53,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0.17,0,610,690,0
